fig_num,name,inventory_id,set_num,set_name,year,parent_id,parent_theme,theme_id,theme
fig-000140,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble",20013,7633-1,Construction Site,2009,52,City,56,Construction
fig-000141,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",1772,30350-1,Volcano Jackhammer,2016,52,City,52,City
fig-000141,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",11508,60124-1,Volcano Exploration Base,2016,52,City,52,City
fig-000142,"AT-AT Driver, Sand Blue Uniform",9002,75075-1,AT-AT,2015,158,Star Wars,158,Star Wars
fig-000142,"AT-AT Driver, Sand Blue Uniform",13311,75054-1,AT-AT,2014,158,Star Wars,158,Star Wars
fig-000143,Gorzan with Flat Silver Shoulder Armor,4135,70130-1,Sparratus' Spider Stalker,2014,571,Legends of Chima,571,Legends of Chima
fig-000143,Gorzan with Flat Silver Shoulder Armor,15615,70136-1,Banana Bash,2014,571,Legends of Chima,572,Speedorz
fig-000144,"Luke Skywalker, White Robe, White Legs, Cheek Lines",621,75059-1,Sandcrawler,2014,158,Star Wars,171,Ultimate Collector Series
fig-000144,"Luke Skywalker, White Robe, White Legs, Cheek Lines",15760,75052-1,Mos Eisley Cantina,2014,158,Star Wars,158,Star Wars
fig-000145,Bard the Bowman,3650,79017-1,The Battle of the Five Armies,2014,561,The Hobbit and Lord of the Rings,562,The Hobbit
fig-000145,Bard the Bowman,5601,COMCON038-1,Bard the Bowman,2014,561,The Hobbit and Lord of the Rings,562,The Hobbit
fig-000145,Bard the Bowman,10032,5000196304-1,The Hobbit - The Battle of the Five Armies (Blu-ray with Minifigures),2015,501,Gear,501,Gear
fig-000146,"Racer, White Shirt with Two Stripes and 'S', White Legs, Blue Helmet with Visor",4847,1991-1,Racing Pickup,1993,50,Town,67,Classic Town
fig-000147,Jor-El,2653,5001623-1,Jor-El,2013,695,Super Heroes DC,701,Superman
fig-000148,"Race Driver, Orange Torso, Orange Legs, Red  Helmet",4339,4584-1,Hot Scorcher,2002,112,Racers,112,Racers
fig-000149,Jay ZX with Shoulder Armour,357,9553-1,Jay ZX,2012,435,Ninjago,435,Ninjago
fig-000149,Jay ZX with Shoulder Armour,4516,9445-1,Fangpyre Truck Ambush,2012,435,Ninjago,435,Ninjago
fig-000149,Jay ZX with Shoulder Armour,6840,850632-1,Battle Pack,2013,435,Ninjago,435,Ninjago
fig-000149,Jay ZX with Shoulder Armour,11680,9450-1,Epic Dragon Battle,2012,435,Ninjago,435,Ninjago
fig-000149,Jay ZX with Shoulder Armour,14009,9449-1,Ultra Sonic Raider,2012,435,Ninjago,435,Ninjago
fig-000149,Jay ZX with Shoulder Armour,82519,9450-1,Epic Dragon Battle,2012,435,Ninjago,435,Ninjago
fig-000149,Jay ZX with Shoulder Armour,94090,853404-1,Ninjago Magnet Set,2012,501,Gear,501,Gear
fig-000149,Jay ZX with Shoulder Armour,121434,9553-1,Jay ZX,2012,435,Ninjago,435,Ninjago
fig-000150,"Basketball Player, Light Gray torso, Black Legs",3725,5013-1,Basketball,2003,458,Sports,459,Basketball
fig-000151,Worriz with Pearl Gold Shoulder Armor,14906,70127-1,Wolf Legend Beast,2014,571,Legends of Chima,571,Legends of Chima
fig-000152,Sandy Moondust,5483,3928-1,Sandy Moondust Mars Rover Mission Astrobot Female,2002,126,Space,126,Space
fig-000153,"Racer, White Jacket with Zipper, Red Helmet with Visor (3626a Head)",14243,6526-1,Red Line Racer,1989,50,Town,67,Classic Town
fig-000154,"Basketball Player, Tan Torso, Black Legs",8584,3390-1,Street Basketball Player,2003,458,Sports,459,Basketball
fig-000155,"Man, Green Jacket, Blue Legs, Red Helmet with Visor, Yellow Life Vest, Blue Sunglasses",15596,1740-1,Kayak,1994,50,Town,67,Classic Town
fig-000156,"Ninja, Red",1440,3053-1,Emperor's Stronghold,1999,434,Ninja,434,Ninja
fig-000156,"Ninja, Red",2520,3051-1,Blaze Attack,1999,434,Ninja,434,Ninja
fig-000156,"Ninja, Red",3774,3050-1,Shanghai Surprise,1999,434,Ninja,434,Ninja
fig-000156,"Ninja, Red",5734,3074-1,Red Ninja's Dragon Glider,1999,434,Ninja,434,Ninja
fig-000156,"Ninja, Red",12178,3052-1,Ninja Fire Fortress,1999,434,Ninja,434,Ninja
fig-000157,Biff Starling,9789,3929-1,Biff Starling Mars Rover Mission Astrobot Male,2002,126,Space,126,Space
fig-000158,"Medium Blue Torso, Blue Overall, Blue Cap",8842,5537-1,Limited Edition [Blue Tub],2007,34,Make & Create,34,Make & Create
fig-000159,"Race Driver, Red Torso, Red Legs, Red Helmet - Nitro Flash",3756,4589-1,RC-Nitro Flash,2002,112,Racers,112,Racers
fig-000160,"Man, Blue Torso, Red Legs, Red Cap (3626a Head)",6934,6673-1,Solo Trainer,1990,50,Town,67,Classic Town
fig-000162,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard",11795,6187-1,Road Construction Set,2008,34,Make & Create,35,Bricks & More
fig-000162,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard",12761,7633-1,Construction Site,2009,52,City,56,Construction
fig-000162,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Goatee Beard",20013,7633-1,Construction Site,2009,52,City,56,Construction
fig-000163,"Shadow Stormtrooper, Black, Plain Legs",6312,7664-1,TIE Crawler,2007,158,Star Wars,158,Star Wars
fig-000163,"Shadow Stormtrooper, Black, Plain Legs",7108,7667-1,Imperial Dropship,2008,158,Star Wars,158,Star Wars
fig-000163,"Shadow Stormtrooper, Black, Plain Legs",16006,852715-1,Star Wars Magnet Set,2009,501,Gear,501,Gear
fig-000164,"Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Helmet with Visor, Open Mouth",12795,30014-1,Police Helicopter,2011,52,City,61,Police
fig-000165,"Red Torso, Blue Legs, Blue Cap",988,7834-1,Level Crossing Manual,1980,233,Train,234,12V
fig-000167,"Blue Torso, White Legs, Blue Arctic Hood",11369,9784-1,Arctic Impact Challenge Kit,2001,398,FIRST LEGO League,398,FIRST LEGO League
fig-000168,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",12840,3412-1,Point Shooting,2000,458,Sports,462,Soccer
fig-000168,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",13378,3401-1,Shoot n' Score,2000,458,Sports,462,Soccer
fig-000168,"Soccer Player White Torso with Blue/Red Stripes, Blue Legs, Black Hair",14887,3418-1,Point Shooting,2001,458,Sports,462,Soccer
fig-000169,"Policeman, Dark Blue Jacket with Zipper, Badge, and 'POLICE' on Back, White Helmet with Visor",2479,30226-1,Police Helicopter,2014,52,City,61,Police
fig-000170,"Man - White Torso, Black Legs, Red Hat, Black Legs",3912,555-2,Basic Set,1981,465,Universal Building Set,469,Basic Set
fig-000170,"Man - White Torso, Black Legs, Red Hat, Black Legs",4492,1965-1,Basic Building Set,1985,465,Universal Building Set,467,Basic
fig-000170,"Man - White Torso, Black Legs, Red Hat, Black Legs",9970,1598-1,Basic Set,1987,465,Universal Building Set,467,Basic
fig-000170,"Man - White Torso, Black Legs, Red Hat, Black Legs",12484,1524-1,Basic Set Trial Size,1986,465,Universal Building Set,467,Basic
fig-000171,Rocker Girl,13433,8831-15,Rocker Girl,2012,535,Collectible Minifigures,542,Series 7 Minifigures
fig-000172,"White Torso, Green Overall, Green Cap",3167,5573-2,Build & Play [Red Tub],2009,34,Make & Create,35,Bricks & More
fig-000172,"White Torso, Green Overall, Green Cap",15283,5573-1,Build & Play,2008,34,Make & Create,35,Bricks & More
fig-000173,Chess Piece - Crown - Pawn,2853,7091-1,Knights' Catapult Defense,2007,186,Castle,193,Fantasy Era
fig-000173,Chess Piece - Crown - Pawn,4357,852001-1,Castle Chess Set,2007,186,Castle,193,Fantasy Era
fig-000173,Chess Piece - Crown - Pawn,9224,5373-1,Knight & Catapult,2008,186,Castle,193,Fantasy Era
fig-000174,"Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)",210,6395-1,Victory Lap Raceway,1988,50,Town,67,Classic Town
fig-000174,"Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)",11107,1899-1,Race Car Number 1,1989,50,Town,67,Classic Town
fig-000174,"Racer, Red Jacket with Zipper, Red Helmet with Visor (3626a Head)",14750,1890-1,Octan Racer,1992,50,Town,67,Classic Town
fig-000175,"Man, Blue Overalls over Shirt, Blue Legs, Red Cap, Goatee Beard",14054,7901-1,Airplane Mechanic,2006,52,City,53,Airport
fig-000176,Soccer Player,5013,8804-11,Soccer Player,2011,535,Collectible Minifigures,539,Series 4 Minifigures
fig-000177,Hockey Player,4670,8804-8,Hockey Player,2011,535,Collectible Minifigures,539,Series 4 Minifigures
fig-000178,Zombie Driver,3512,9464-1,The Vampire Hearse,2012,558,Monster Fighters,558,Monster Fighters
fig-000178,Zombie Driver,8167,40076-1,Zombie Car,2012,558,Monster Fighters,558,Monster Fighters
fig-000178,Zombie Driver,9633,30200-1,Zombie Chauffeur Coffin Car,2012,558,Monster Fighters,558,Monster Fighters
fig-000178,Zombie Driver,12653,9465-1,The Zombies,2012,558,Monster Fighters,558,Monster Fighters
fig-000179,"Mia - Medium Blue Top, Lime Shorts",6668,41124-1,Heartlake Puppy Daycare,2016,494,Friends,494,Friends
fig-000179,"Mia - Medium Blue Top, Lime Shorts",19703,41325-1,Heartlake City Playground,2017,494,Friends,494,Friends
fig-000180,Dastan,11501,20017-1,Dagger Trap,2010,271,Prince of Persia,271,Prince of Persia
fig-000181,"Man, White Torso with Red and Blue Stripes, White Legs, Red Helmet",10873,6605-1,Road Racer,1984,50,Town,67,Classic Town
fig-000182,"Man, Black Vest and Tie, Dark Bluish Gray Legs, Black Hair",4381,8402-1,Sports Car,2009,52,City,63,Traffic
fig-000183,"Man, White Vest with Truck, Blue Legs, Blue Cap (3626a Head)",210,6395-1,Victory Lap Raceway,1988,50,Town,67,Classic Town
fig-000183,"Man, White Vest with Truck, Blue Legs, Blue Cap (3626a Head)",11671,6660-1,Hook & Haul Wrecker,1989,50,Town,67,Classic Town
fig-000184,"King Leo (Knights Kingdom I) - Lion Shield, Helmet",4990,5924-1,Castle Picture Frame,2002,425,Legoland Parks,425,Legoland Parks
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",4153,7236-2,Police Car (Blue Sticker Version),2008,52,City,61,Police
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",9901,7236-1,Police Car (Black Sticker Version),2005,52,City,61,Police
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",10720,7286-1,Prisoner Transport,2011,52,City,61,Police
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",13128,7237-2,Police Station [No Lighted Figure],2006,52,City,61,Police
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",28070,9781409308867-1,City: Police Chase,2011,497,Books,497,Books
fig-000185,"Policeman, Black Jacket with Pocket and Badge, White Hat, Smile",37049,7237-2,Police Station [No Lighted Figure],2006,52,City,61,Police
fig-000186,Sherry Scratchen-Post (CMF),589,71004-6,Mrs Scratchen-Post,2014,535,Collectible Minifigures,549,The LEGO Movie
fig-000188,"Olivia - Magenta Top, Dark Blue Shorts",5342,30398-1,Adventure Camp Bridge,2016,494,Friends,494,Friends
fig-000189,"Flexible Gymnast, Team GB (CMF)",14451,8909-6,Flexible Gymnast,2012,535,Collectible Minifigures,546,Team GB
fig-000191,Troll Warrior 3 (Orc),151,7048-1,Troll Warship,2008,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),2267,852293-1,Fantasy Era Castle Giant Chess Set,2008,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),6579,852701-1,Battle Pack Troll Warriors,2009,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),7489,5618-1,Troll Warrior,2008,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),8354,7041-1,Troll Battle Wheel,2008,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),14912,7040-1,Dwarves' Mine Defender,2008,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),15249,7037-1,Tower Raid,2008,186,Castle,193,Fantasy Era
fig-000191,Troll Warrior 3 (Orc),16081,7097-1,Trolls' Mountain Fortress,2009,186,Castle,193,Fantasy Era
fig-000192,"Emma - Lavender Top, Bright Light Blue Skirt",4686,41095-1,Emma's House,2015,494,Friends,494,Friends
fig-000192,"Emma - Lavender Top, Bright Light Blue Skirt",5482,30396-1,Cupcake Stall,2016,494,Friends,494,Friends
fig-000193,Slithraa,12136,9446-1,Destiny's Bounty,2012,435,Ninjago,435,Ninjago
fig-000193,Slithraa,13526,9573-1,Slithraa,2012,435,Ninjago,435,Ninjago
fig-000194,Spaceman (2447 Visor),179,1413-1,Rover,2001,126,Space,135,Life On Mars
fig-000194,Spaceman (2447 Visor),3726,7301-1,Rover,2001,126,Space,135,Life On Mars
fig-000194,Spaceman (2447 Visor),8525,7309-1,Rover,2001,126,Space,135,Life On Mars
fig-000194,Spaceman (2447 Visor),14562,1195-1,Alien Encounter,2001,126,Space,135,Life On Mars
fig-000195,Harry Cane,472,5925-1,Pontoon Plane,1999,296,Adventurers,299,Jungle
fig-000195,Harry Cane,1321,5988-1,Pharaoh's Forbidden Ruins,1998,296,Adventurers,297,Desert
fig-000195,Harry Cane,1785,5956-1,Expedition Balloon,1999,296,Adventurers,299,Jungle
fig-000195,Harry Cane,4081,2879-1,Desert Expedition,1998,296,Adventurers,297,Desert
fig-000195,Harry Cane,9734,5909-1,Treasure Raiders set with Mummy Storage Container,1998,296,Adventurers,297,Desert
fig-000195,Harry Cane,11549,3039-1,Adventurers Plane,1999,296,Adventurers,297,Desert
fig-000195,Harry Cane,12752,5948-1,Desert Expedition,1998,296,Adventurers,297,Desert
fig-000195,Harry Cane,14329,3022-1,Plane of Hurrykain,1998,296,Adventurers,297,Desert
fig-000195,Harry Cane,15672,2542-1,Adventurers Aeroplane,1998,296,Adventurers,297,Desert
fig-000196,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",11566,6206-1,TIE Interceptor,2006,158,Star Wars,158,Star Wars
fig-000196,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",14982,7659-1,Imperial Landing Craft,2007,158,Star Wars,158,Star Wars
fig-000196,"TIE Pilot, Plain Legs, Plain Black Head (30408 Helmet)",72826,7659-1,Imperial Landing Craft,2007,158,Star Wars,158,Star Wars
fig-000197,Artist (CMF),11967,8804-14,Artist,2011,535,Collectible Minifigures,539,Series 4 Minifigures
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",763,7235-2,Police Motorcycle (Blue Sticker Version),2008,52,City,61,Police
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",6503,7235-1,Police Motorcycle (Black Sticker Version),2005,52,City,61,Police
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",13128,7237-2,Police Station [No Lighted Figure],2006,52,City,61,Police
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",13363,7237-1,Police Station [Lighted Figure],2005,52,City,61,Police
fig-000198,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses",37049,7237-2,Police Station [No Lighted Figure],2006,52,City,61,Police
fig-000199,"Emma - Medium Blue Crop Top, Dark Pink Shorts",9020,41028-1,Emma's Lifeguard Post,2014,494,Friends,494,Friends
fig-000200,"Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair",3404,2870-1,Paradisa Barbeque,1997,50,Town,90,Paradisa
fig-000201,Lifeguard (CMF),2013,71007-7,Lifeguard,2014,535,Collectible Minifigures,548,Series 12 Minifigures
fig-000202,"Olivia - White Top, Sand Blue Skirt",7412,41103-1,Pop Star Recording Studio,2015,494,Friends,494,Friends
fig-000203,"Woman, White Shirt with Pockets, White Legs, Red Hair, Yellow Life Vest",4592,1069-1,Speedboat,1999,50,Town,92,Res-Q
fig-000203,"Woman, White Shirt with Pockets, White Legs, Red Hair, Yellow Life Vest",13774,2882-1,Speedboat,1997,50,Town,67,Classic Town
fig-000204,Werewolf,8265,8804-12,Werewolf,2011,535,Collectible Minifigures,539,Series 4 Minifigures
fig-000205,"Man, White Jacket with Zipper, Red Legs, Red Helmet with Visor",2096,1560-1,Glory Glider,1990,50,Town,67,Classic Town
fig-000206,"LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat",5332,697-1,Stagecoach,1976,411,Legoland,424,Western
fig-000207,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Blue Legs, Brown Hair",1419,6633-1,Family Car,1985,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",618,6389-1,Fire Control Center,1990,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",751,6621-1,Fire Truck,1984,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",859,1067-1,Community Vehicles,1985,507,Educational and Dacta,507,Educational and Dacta
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",3014,6366-1,Fire & Rescue Squad,1984,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",4055,6301-1,Town Mini-Figures,1986,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",4893,6611-1,Fire Chief's Car,1981,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",5411,1063-1,Community Workers,1985,507,Educational and Dacta,533,Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",6742,6358-1,Snorkel Squad,1987,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",7835,6593-1,Blaze Battler,1991,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",7883,6505-1,Fire Chief's Car,1988,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",7920,6385-1,Fire House-I,1985,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",9434,1656-1,Evacuation Team,1991,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",10641,6309-1,Town Mini-Figures,1988,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",10753,6307-1,Firemen,1983,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",14209,6612-1,Fire Chief's Car,1986,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",14457,6480-1,Hook and Ladder Truck,1986,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",59516,6480-1,Hook and Ladder Truck,1986,50,Town,67,Classic Town
fig-000208,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",79933,6593-1,Blaze Battler,1991,50,Town,67,Classic Town
fig-000209,"Man, Plain Red, White Cap",15326,6698-1,RV with Speedboat,1986,50,Town,67,Classic Town
fig-000209,"Man, Plain Red, White Cap",30936,6698-1,RV with Speedboat,1986,50,Town,67,Classic Town
fig-000210,Razcal with Shoulder Armor,2407,850779-1,Minifigure Accessory Set,2013,571,Legends of Chima,571,Legends of Chima
fig-000210,Razcal with Shoulder Armor,7001,30254-1,Razcal's Double-Crosser,2013,571,Legends of Chima,571,Legends of Chima
fig-000210,Razcal with Shoulder Armor,11632,70000-1,Razcal's Glider,2013,571,Legends of Chima,571,Legends of Chima
fig-000210,Razcal with Shoulder Armor,12147,391302-1,Razcal,2013,571,Legends of Chima,571,Legends of Chima
fig-000212,"White Torso, Blue Overall, Red Hard Hat",14428,850798-1,Classic Name Sign,2013,301,Other,301,Other
fig-000213,Lord Garmadon (The Golden Weapons),2573,2506-1,Skull Truck,2011,435,Ninjago,435,Ninjago
fig-000213,Lord Garmadon (The Golden Weapons),3659,2505-1,Garmadon's Dark Fortress,2011,435,Ninjago,435,Ninjago
fig-000213,Lord Garmadon (The Golden Weapons),6797,2256-1,Lord Garmadon,2011,435,Ninjago,435,Ninjago
fig-000213,Lord Garmadon (The Golden Weapons),14926,2507-1,Fire Temple,2011,435,Ninjago,435,Ninjago
fig-000214,Grumlo with Flat Silver Shoulder Armor,16244,391114-1,Grumlo,2014,571,Legends of Chima,571,Legends of Chima
fig-000215,"Chef, Red Neckerchief, Blue Legs, Red Cap",6861,6601-1,Ice Cream Cart,1985,50,Town,67,Classic Town
fig-000216,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",7130,1843-3,Royal Knight's Catapult,1996,186,Castle,201,Royal Knights
fig-000216,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",8219,6097-1,Night Lord's Castle,1997,186,Castle,195,Fright Knights
fig-000217,"Archer (Scale Mail on Red) - Black Arms, Light Gray Legs",4849,1624-1,King's Archer,1993,186,Castle,188,Black Knights
fig-000218,Man with Blue Torso and Black Pants,8417,6624-1,Delivery Van,1983,50,Town,67,Classic Town
fig-000218,Man with Blue Torso and Black Pants,8935,4005-1,Tug Boat,1982,363,Boat,363,Boat
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",676,30106-1,Ice Cream Stand,2013,494,Friends,494,Friends
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",3653,3185-1,Summer Riding Camp,2012,494,Friends,494,Friends
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",9857,30103-1,Car,2012,494,Friends,494,Friends
fig-000219,"Emma - Lavender Top, Dark Blue Skirt",12469,3187-1,Butterfly Beauty Shop,2012,494,Friends,494,Friends
fig-000220,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",2335,6381-1,Motor Speedway,1987,50,Town,67,Classic Town
fig-000220,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",3893,6634-1,Stock Car,1986,50,Town,67,Classic Town
fig-000220,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",9372,1497-1,Rally and Pitcrew Team,1987,50,Town,67,Classic Town
fig-000220,"Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet",12528,6502-1,Turbo Racer,1987,50,Town,67,Classic Town
fig-000221,"Man, Blue Overalls, Red Cap (3626a Head)",7672,1525-1,Container Lorry,1986,50,Town,67,Classic Town
fig-000221,"Man, Blue Overalls, Red Cap (3626a Head)",8873,6377-1,Delivery Center,1985,50,Town,67,Classic Town
fig-000221,"Man, Blue Overalls, Red Cap (3626a Head)",10237,1572-1,Super Tow Truck,1986,50,Town,67,Classic Town
fig-000222,"Tina - White/Silver Top, Dark Purple Skirt",11567,41300-1,Puppy Championship,2017,494,Friends,494,Friends
fig-000223,Martian Manhunter (J'onn J'onzz),13668,5002126-1,Martian Manhunter,2014,695,Super Heroes DC,695,Super Heroes DC
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",92,6386-1,Police Command Base,1986,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",284,588-1,Police Headquarters,1979,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",859,1067-1,Community Vehicles,1985,507,Educational and Dacta,507,Educational and Dacta
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",1039,6308-1,Policemen,1982,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",2148,6392-1,Airport,1985,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",2766,6450-1,Mobile Police Truck,1986,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",3268,381-2,Police Headquarters,1979,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",3809,6632-1,Tactical Patrol Truck,1985,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",4055,6301-1,Town Mini-Figures,1986,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",5087,0011-2,Town Mini-Figures,1979,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",5134,6623-1,Police Car,1983,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",6787,1490-1,Town Bank,1988,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",7248,6506-1,Precinct Cruiser,1989,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",8037,6354-1,Pursuit Squad,1990,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",8812,1064-1,Dacta Buildings,1981,507,Educational and Dacta,533,Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",10619,6384-1,Police Station,1983,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",12194,6676-1,Mobile Command Unit,1986,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",14529,4010-1,Police Rescue Boat,1987,363,Boat,363,Boat
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",16036,6684-1,Police Patrol Squad,1984,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",31737,6386-1,Police Command Base,1986,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",42209,381-2,Police Headquarters,1979,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",88149,6384-1,Police Station,1983,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",130491,6392-1,Airport,1985,50,Town,67,Classic Town
fig-000225,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",136179,588-1,Police Headquarters,1979,50,Town,67,Classic Town
fig-000226,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Silver Sunglasses",8591,7891-1,Airport Firetruck,2006,52,City,53,Airport
fig-000227,Superman,194,COMCON017-1,Super Heroes Unite - Superman - New York Comic-Con 2011 Exclusive,2011,695,Super Heroes DC,701,Superman
